Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules),Context,Conservation Status,Fun Fact
Small-spotted Catshark,"Atlantic, North Sea",Night,Not tide sensitive,Smelly fish/squid baits; scavenger,Active in wide temp range,Feeds happily in coloured post-storm water,Sandy/mud seabeds 20–100m,6,Generally no restrictions; often released,National fisheries agencies,Boat,IUCN: LC (global). Common locally; many anglers release.,Can rest in piles like sleepy puppies under ledges.
Gilthead Seabream,"Mediterranean, Southern Atlantic",Dawn/dusk; warm months,Strong on flooding tide,"Crabs, prawns, mussels; crushes shellfish with molars",Likes ≥15°C; sluggish in cold,Light onshore chop good; too much surf bad,"Estuaries, harbours 2–10m",9,MLS ~20–23cm+; bag limits in Med countries,Regional Med fisheries agencies,Shore,IUCN: LC (global). Aquaculture common; wild stocks locally managed.,Farmed widely in the Med since the 1980s boom in aquaculture.
Gilthead Seabream,"Mediterranean, Southern Atlantic",Dawn/dusk; warm months,Strong on flooding tide,"Crabs, prawns, mussels; crushes shellfish with molars",Likes ≥15°C; sluggish in cold,Light onshore chop good; too much surf bad,"Reefs, sandy bays 10–30m",9,MLS ~20–23cm+; bag limits in Med countries,Regional Med fisheries agencies,Boat,IUCN: LC (global). Aquaculture common; wild stocks locally managed.,Farmed widely in the Med since the 1980s boom in aquaculture.
Red Seabream,"Mediterranean, Southern Atlantic",Daytime,Moderate tide influence,"Crabs, shellfish, squid; powerful jawed feeder",Prefers warmer Med/Atlantic waters,Clear settled seas best,Deep rocky reefs 20–100m,9,Size/bag restrictions vary,Regional Med fisheries agencies,Boat,IUCN: LC (global). Regional declines noted; follow bag/size rules.,"In Spain it’s ‘besugo’, a Christmas feast fish in some regions."
Black Seabream,"Mediterranean, Atlantic",Dawn/daylight,Moderate; likes flowing water,"Shellfish, worms, squid; omnivore",Prefers mild–warm; spawns spring inshore,Feeds in calm/light chop,"Piers, rocky ground 5–15m",8,Spawning aggregations protected,Regional Med fisheries agencies,Shore,IUCN: LC (global). Spawning aggregations sensitive—respect protections.,Form big spring spawning shoals—hence seasonal protections.
Black Seabream,"Mediterranean, Atlantic",Dawn/daylight,Moderate; likes flowing water,"Shellfish, worms, squid; omnivore",Prefers mild–warm; spawns spring inshore,Feeds in calm/light chop,"Reefs, wrecks 20–50m",8,Spawning aggregations protected,Regional Med fisheries agencies,Boat,IUCN: LC (global). Spawning aggregations sensitive—respect protections.,Form big spring spawning shoals—hence seasonal protections.
Dentex,Mediterranean,Daytime,Moderate tidal effect,"Live fish, squid; predatory",Active in warm Med summers,Best in clear calm seas,Deep rocky reefs 20–100m,9,Strict MLS ~30–35cm; local protections,Regional Med fisheries agencies,Boat,IUCN: LC (global). Large breeding fish important—consider release.,Mediterranean spearfishers whisper about its legendary wariness.
Flathead Grey Mullet,"Atlantic, Mediterranean",Dawn/evening; calm days,Strong in estuaries on flooding tide,"Bread, algae, harbour detritus; filter feeder",Best in mild–warm months; cold snaps shut down,After rain in estuaries good; spooked by wind/boat noise,"Harbours, estuaries, surf zones 0–10m",7,Often no EU MLS; local rules apply,National fisheries agencies,Shore,IUCN: LC (global). Estuary water quality can affect stocks.,"Despite humble looks, prized as ‘mugil’ bottarga (cured roe) in the Med."
Tub Gurnard,"Atlantic, Mediterranean",Daytime,Moderate; over sandy/mixed ground,"Small fish, shrimp, crab; hunts on seabed",Feeds in warmer seas; less in cold winters,Feeds well in moderate chop,Shallows 5–15m,7,MLS varies; often kept for food,National fisheries agencies,Shore,IUCN: LC (global). Generally stable; check local MLS.,‘Walks’ the seabed on fin rays while drumming audibly—a noisy neighbour.
Tub Gurnard,"Atlantic, Mediterranean",Daytime,Moderate; over sandy/mixed ground,"Small fish, shrimp, crab; hunts on seabed",Feeds in warmer seas; less in cold winters,Feeds well in moderate chop,Boat drifts 20–60m over sand/mud,7,MLS varies; often kept for food,National fisheries agencies,Boat,IUCN: LC (global). Generally stable; check local MLS.,‘Walks’ the seabed on fin rays while drumming audibly—a noisy neighbour.
Haddock,"North Sea, North Atlantic",Daylight and dusk; autumn–spring are strongest inshore.,Moderate; likes a steady run over clean-to-mixed ground.,"Worm baits, clam/mussel, small fish or squid strips; pecks shellfish and small invertebrates.",Prefers cool water; pushes deeper in summer warm spells.,A settling sea after wind is ideal; heavy swell makes it hard to fish effectively.,Open sandy/mixed ground from beaches and piers 5–30 m; offshore banks and marks 30–100 m.,9,Minimum sizes and bag/area rules vary by country—check locally before retaining fish.,UK IFCA/MMO; Norway/Denmark/Netherlands national agencies.,Shore,IUCN: LC (global). North Sea stock managed; follow local retention rules.,The dark ‘Devil’s thumbprint’ mark is a fishy folk tale classic.
Haddock,"North Sea, North Atlantic",Daylight and dusk; autumn–spring are strongest inshore.,Moderate; likes a steady run over clean-to-mixed ground.,"Worm baits, clam/mussel, small fish or squid strips; pecks shellfish and small invertebrates.",Prefers cool water; pushes deeper in summer warm spells.,A settling sea after wind is ideal; heavy swell makes it hard to fish effectively.,Drifts over sandbanks and mixed ground 30–120 m; downtiding at anchor also works.,9,Minimum sizes and bag/area rules vary by country—check locally before retaining fish.,UK IFCA/MMO; Norway/Denmark/Netherlands national agencies.,Boat,IUCN: LC (global). North Sea stock managed; follow local retention rules.,The dark ‘Devil’s thumbprint’ mark is a fishy folk tale classic.
Saithe (Pollachius virens),"North Sea, Norwegian waters, North Atlantic",Dawn/dusk; overcast days fish well with lures.,Moderate; hunts on current edges around structure.,"Metal jigs, shads, sandeel/mackerel strip; chases small fish tightly packed.",Active in cool–mild water; very warm or very cold spells slow them.,Clear water with some movement is ideal; big swell pushes them deeper.,Kelp fringes and rock pins accessible from shore 5–20 m; harbour mouths and headlands.,8,Local size/bag rules vary; many anglers release larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Shore,IUCN: LC (global). Generally healthy in the NE Atlantic; observe local limits.,Nickname ‘coal-fish’ for its dark back; youngsters can glow faintly in plankton at night.
Saithe (Pollachius virens),"North Sea, Norwegian waters, North Atlantic",Dawn/dusk; overcast days fish well with lures.,Moderate; hunts on current edges around structure.,"Metal jigs, shads, sandeel/mackerel strip; chases small fish tightly packed.",Active in cool–mild water; very warm or very cold spells slow them.,Clear water with some movement is ideal; big swell pushes them deeper.,Deep reefs and wrecks 20–120 m; vertical jigging or long casts down-tide.,8,Local size/bag rules vary; many anglers release larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Boat,IUCN: LC (global). Generally healthy in the NE Atlantic; observe local limits.,Nickname ‘coal-fish’ for its dark back; youngsters can glow faintly in plankton at night.
Common Ling,"North Atlantic, North Sea, Norwegian waters",Dusk and dark; year-round over rough ground.,Moderate; prefers steady flow around wrecks and ledges.,"Large fish baits, squid, cuttle; scavenger-predator among rocks and wrecks.",Cold-tolerant; deep marks fish consistently regardless of season.,Big groundswell can shut down shallow rough ground; deep marks keep producing.,From deep rock ledges within casting reach to wrecks 50–200 m.,8,Use strong tackle and safe handling; local size/bag rules may apply.,Norway Fiskeridirektoratet; UK/NL national agencies.,Shore,IUCN: LC (global). Slow‑growing; release big breeders where possible.,Dried ling skin was used as tough boot leather in medieval Europe.
Common Ling,"North Atlantic, North Sea, Norwegian waters",Dusk and dark; year-round over rough ground.,Moderate; prefers steady flow around wrecks and ledges.,"Large fish baits, squid, cuttle; scavenger-predator among rocks and wrecks.",Cold-tolerant; deep marks fish consistently regardless of season.,Big groundswell can shut down shallow rough ground; deep marks keep producing.,"Wrecks, pinnacles and heavy reef 80–300 m; big baits on strong gear.",8,Use strong tackle and safe handling; local size/bag rules may apply.,Norway Fiskeridirektoratet; UK/NL national agencies.,Boat,IUCN: LC (global). Slow‑growing; release big breeders where possible.,Dried ling skin was used as tough boot leather in medieval Europe.
Ballan Wrasse,"Atlantic, North Sea (west), Mediterranean fringe","Daylight, especially on a flooding tide.",Moderate; feeds as crabs and prawns shuffle with the tide.,"Crab, prawn, shellfish; raids crevices and kelp fronds.",Best in mild–warm months; sluggish in winter.,Clear water is easier; swell pushes them tight to cover.,"Rocky headlands and kelp gullies right under your feet, 2–15 m.",5,Conservation measures in some areas (wrasse for aquaculture); many anglers practise catch & release.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Shore,IUCN: LC (global). Local protections where used as cleaner fish—check rules.,Modern day ‘cleaner fish’ that picks parasites off farmed salmon.
Cuckoo Wrasse,"North Atlantic, North Sea (west)",Daylight; over broken ground with kelp and boulders.,Moderate; works best with some run.,Small crab and prawn baits; also takes small lures.,Active in mild–warm months; slows in winter.,Clearer seas help; big swell tucks them into holes.,Rocky points and reefs in 5–25 m; piers with kelp beds can hold them.,6,Local protections possible; bright colours make them popular for photos—handle gently.,Regional conservation/fisheries bodies; national agencies.,Shore,IUCN: LC (global). Brightly coloured—handle carefully; local protections possible.,Males turn electric blue and orange in breeding season—flashy!
Greater Amberjack,"Mediterranean, Southern Atlantic (Iberia)",Dawn and late afternoon; summer into autumn.,Moderate; hunts along current seams around structure.,"Livebaits (mackerel, bogue), big stickbaits and jigs; apex predator on small fish.",Loves warm water; quiet during cold spells.,"Settled, clear seas favour topwater and livebaiting; lumpy seas push fish deeper.",Rocky headlands and harbour mouths from shore when bait is in; offshore reefs/pins 20–80 m.,8,Size/bag rules vary by country; release big breeders where encouraged.,Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM.,Shore,IUCN: LC (global). Highly prized; size/bag limits vary by country.,Name nods to the glowing amber stripe along its flank.
Greater Amberjack,"Mediterranean, Southern Atlantic (Iberia)",Dawn and late afternoon; summer into autumn.,Moderate; hunts along current seams around structure.,"Livebaits (mackerel, bogue), big stickbaits and jigs; apex predator on small fish.",Loves warm water; quiet during cold spells.,"Settled, clear seas favour topwater and livebaiting; lumpy seas push fish deeper.","Offshore reefs, wrecks and pinnacles 20–150 m; slow-troll or jig.",8,Size/bag rules vary by country; release big breeders where encouraged.,Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM.,Boat,IUCN: LC (global). Highly prized; size/bag limits vary by country.,Name nods to the glowing amber stripe along its flank.
Parrotfish,Mediterranean (eastern and subtropical pockets),"Daylight; calm, clear days.",Low–moderate; mooches around weedy rocks.,"Shellfish, prawns, small crabs; scrapes algae and grazes.",Heat-lover; most active in summer.,"Best in calm, clear water; swell hides them in crevices.",Shallow rocky coves and jetties 1–10 m—right where you can see them.,7,Local protections in some regions; check rules if planning to retain.,Regional Med fisheries agencies.,Shore,IUCN: LC (regional Mediterranean species). Check local protections.,Their ground-up coral ‘sand’ literally helps build beaches.
Common Octopus,"Atlantic (Iberia), Mediterranean",Night and low light; autumn–winter peaks in many areas.,Low–moderate; prefers gentle movement around rocky ground.,"Egi-style octopus jigs, fish/squid baits; hunts crabs, shellfish and small fish.",Prefers mild–warm seasons inshore; cold pushes them deeper.,Clear water and light swell help; stirred-up water after storms fishes poorly.,"Breakwaters, harbour walls and rough patches 2–20 m—classic pier target at night.",9,Local seasons/limits and gear rules apply; pots/traps regulated in many regions.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Shore,IUCN: LC (global). Seasonal limits and gear rules are common—check locally.,Clever escape artists—can unscrew jars and walk briefly on land.
Common Octopus,"Atlantic (Iberia), Mediterranean",Night and low light; autumn–winter peaks in many areas.,Low–moderate; prefers gentle movement around rocky ground.,"Egi-style octopus jigs, fish/squid baits; hunts crabs, shellfish and small fish.",Prefers mild–warm seasons inshore; cold pushes them deeper.,Clear water and light swell help; stirred-up water after storms fishes poorly.,Reefs and rough ground 10–40 m; slow-drift jigs over boulders and weed.,9,Local seasons/limits and gear rules apply; pots/traps regulated in many regions.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Boat,IUCN: LC (global). Seasonal limits and gear rules are common—check locally.,Clever escape artists—can unscrew jars and walk briefly on land.
Common Cuttlefish,"Atlantic (Iberia/France/UK), Mediterranean",Night with lights; spring runs in many ports.,Low–moderate; likes a steady drift.,Squid/cuttle jigs; also takes small fish and prawns.,Most coastal in mild seasons; heat drives them out deeper.,Clear water and small swell are best; stirred-up water after storms fishes poorly.,"Harbour walls, marinas and sandy patches 2–15 m—classic pier species.",9,Seasonal protections common; respect harbour rules and night-fishing by-laws.,Regional fisheries (Spain MAPA/CCAA; France OFB; Italy MIPAAF; Portugal DGRM).,Shore,IUCN: LC (global). Seasonal protections frequent around ports/estuaries.,Sepia ink gets its name from cuttlefish; artists loved the tone.
Common Cuttlefish,"Atlantic (Iberia/France/UK), Mediterranean",Night with lights; spring runs in many ports.,Low–moderate; likes a steady drift.,Squid/cuttle jigs; also takes small fish and prawns.,Most coastal in mild seasons; heat drives them out deeper.,Clear water and small swell are best; stirred-up water after storms fishes poorly.,Sandy bays and reefs 10–40 m; gentle drifts over weed/sand edges.,9,Seasonal protections common; respect harbour rules and night-fishing by-laws.,Regional fisheries (Spain MAPA/CCAA; France OFB; Italy MIPAAF; Portugal DGRM).,Boat,IUCN: LC (global). Seasonal protections frequent around ports/estuaries.,Sepia ink gets its name from cuttlefish; artists loved the tone.
Spotted Bass,"Mediterranean, Atlantic Iberia",Dawn/dusk; warm months and at night over quiet beaches.,Moderate–strong; loves a push of tide around bars and holes.,"Crabs, prawns, mussels, sandeel and small fish; takes small lures readily.",More active from ~15 °C upwards; sluggish in cold snaps.,Light onshore chop is friendly; heavy surf knocks them off the feed.,"Small surf beaches, estuary mouths and rocky points 1–10 m.",8,Often shares protections with European sea bass—check local rules.,Spain MAPA/CCAA; Portugal DGRM; France OFB.,Shore,IUCN: LC (global). Often shares protections with European sea bass.,Easily mistaken for young sea bass—spot pattern gives it away.
Spotted Bass,"Mediterranean, Atlantic Iberia",Dawn/dusk; warm months and at night over quiet beaches.,Moderate–strong; loves a push of tide around bars and holes.,"Crabs, prawns, mussels, sandeel and small fish; takes small lures readily.",More active from ~15 °C upwards; sluggish in cold snaps.,Light onshore chop is friendly; heavy surf knocks them off the feed.,Reefs and inshore banks 5–25 m; light-boat lure fishing shines.,8,Often shares protections with European sea bass—check local rules.,Spain MAPA/CCAA; Portugal DGRM; France OFB.,Boat,IUCN: LC (global). Often shares protections with European sea bass.,Easily mistaken for young sea bass—spot pattern gives it away.
Little Tunny,"Mediterranean, Atlantic Iberia",First light and late afternoon; active whenever bait showers on the surface.,Low–moderate; current lines help concentrate baitfish.,"Fast metals, casting jigs, stickbaits; blitzes anchovy/sardine/sprat shoals.",Loves warm water; pushes south/deeper when it cools.,Settled conditions show surface feeds; wind pushes action into current seams.,"Headlands, harbour mouths and nearshore rips from shore; offshore feeding lanes by boat.",7,Pay attention to tuna/large pelagic regulations; some areas require release or logbooks.,Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM.,Shore,IUCN: LC (global). Pelagic rules apply; some areas require release/logbooks.,Anglers sometimes kept its marbled stomach lining as lucky charms.
Little Tunny,"Mediterranean, Atlantic Iberia",First light and late afternoon; active whenever bait showers on the surface.,Low–moderate; current lines help concentrate baitfish.,"Fast metals, casting jigs, stickbaits; blitzes anchovy/sardine/sprat shoals.",Loves warm water; pushes south/deeper when it cools.,Settled conditions show surface feeds; wind pushes action into current seams.,Nearshore to offshore rips and temperature breaks; troll or run-and-gun where birds work.,7,Pay attention to tuna/large pelagic regulations; some areas require release or logbooks.,Spain MAPA/CCAA; Italy MIPAAF; Portugal DGRM.,Boat,IUCN: LC (global). Pelagic rules apply; some areas require release/logbooks.,Anglers sometimes kept its marbled stomach lining as lucky charms.
Brill,"North Sea, North Atlantic",Dawn/dusk drifts over sandbanks and edges.,Moderate; moving water over drop-offs and sandbanks fishes best.,"Whole sandeel, fish strips; ambush predator on clean ground.",Best spring–autumn; slows in very cold water.,A slight chop is fine; heavy surf buries baits.,Clean sand and shell 5–40 m from beaches and boats.,9,Minimum sizes and protections vary—release undersized fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Shore,IUCN: LC (global). Size/season rules vary—release undersized.,"Name comes from Old Norse ‘bryllr’, meaning speckled."
Brill,"North Sea, North Atlantic",Dawn/dusk drifts over sandbanks and edges.,Moderate; moving water over drop-offs and sandbanks fishes best.,"Whole sandeel, fish strips; ambush predator on clean ground.",Best spring–autumn; slows in very cold water.,A slight chop is fine; heavy surf buries baits.,Sandbanks and sloping edges 10–60 m—classic drift tactics.,9,Minimum sizes and protections vary—release undersized fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Boat,IUCN: LC (global). Size/season rules vary—release undersized.,"Name comes from Old Norse ‘bryllr’, meaning speckled."
Megrim,"North Atlantic, Celtic/North Sea",Daytime drifts.,Low–moderate; happiest on gentle runs over clean ground.,"Small fish strips, sandeel, squid; ambush feeder on sand/mud.",Cool to mild water suits; very cold slows them.,Moderate chop is fine; big surf or heavy swell makes it hard to fish effectively.,Clean ground within casting reach in deeper beaches 10–30 m; offshore flats 30–120 m.,8,Local minimum sizes and protections—check before keeping fish.,UK IFCA/MMO; Ireland/Spain/France national agencies.,Shore,IUCN: LC (global). Regionally managed; check local MLS.,Known as ‘gallo’ in Spain—common on Galician menus.
Megrim,"North Atlantic, Celtic/North Sea",Daytime drifts.,Low–moderate; happiest on gentle runs over clean ground.,"Small fish strips, sandeel, squid; ambush feeder on sand/mud.",Cool to mild water suits; very cold slows them.,Moderate chop is fine; big surf or heavy swell makes it hard to fish effectively.,Wide flats 40–200 m; drift baits a metre off the bottom when dogfish are thick.,8,Local minimum sizes and protections—check before keeping fish.,UK IFCA/MMO; Ireland/Spain/France national agencies.,Boat,IUCN: LC (global). Regionally managed; check local MLS.,Known as ‘gallo’ in Spain—common on Galician menus.
Greater Weever,"Atlantic, North Sea, Mediterranean",Sunny calm days over warm sand; also dusk.,Low; lies in wait in soft sand.,Small worms and prawn pieces; ambush predator on sand flats.,Warmer months bring them inshore; cooler water pushes deeper.,Calm seas best; stirred-up sand reduces takes.,Edges of sandy beaches and estuary bars 1–15 m—watch those spines underfoot!,6,Venomous spines—handle with care and wear footwear; first-aid is hot-water immersion.,National fisheries and beach safety guidance.,Shore,IUCN: LC (global). Venomous spines—handle with care; generally not restricted.,Venomous spines gave rise to ‘wear shoes on the beach’ warnings.
Sand Eel,"North Atlantic, North Sea",Daylight and dusk when shoals move along the beach; night with lights in some harbours.,Low–moderate; moving water helps shoals hug the shore.,Tiny sabiki or small hooks; feeds on plankton and tiny crustaceans.,Prefers cooler to mild water; summer brings inshore shoals.,Settled weather gathers shoals; heavy surf scatters them.,Surf edges and shallow sandbars 0–10 m; harbour lights on calm nights.,6,Often gathered as bait; local rules may restrict netting or livebait transfer—check locally.,UK IFCA/MMO; North Sea national agencies.,Shore,IUCN: LC (global). Key forage species; local netting/livebait rules apply.,Not eels at all—burrowing fish that underpin North Sea food webs.
Sand Eel,"North Atlantic, North Sea",Daylight and dusk when shoals move along the beach; night with lights in some harbours.,Low–moderate; moving water helps shoals hug the shore.,Tiny sabiki or small hooks; feeds on plankton and tiny crustaceans.,Prefers cooler to mild water; summer brings inshore shoals.,Settled weather gathers shoals; heavy surf scatters them.,Nearshore shoals and shallow banks 5–30 m; small-boat drifts find bigger launce.,6,Often gathered as bait; local rules may restrict netting or livebait transfer—check locally.,UK IFCA/MMO; North Sea national agencies.,Boat,IUCN: LC (global). Key forage species; local netting/livebait rules apply.,Not eels at all—burrowing fish that underpin North Sea food webs.
