cultivar_id,fruit_group,species_slug,cultivar_name,species_scientific,type_label,description_text,synonyms,availability_text,held_in_nfc,images,source_url,source_licence,nfc_id,acc4,flower_10pct_mmdd,flower_full_mmdd,petal_fall_90pct_mmdd,picking_window_text,bloom_week,bloom_band,harvest_band,self_fertile,triploid,pollination_notes,disease_scab,disease_mildew,disease_fire_blight,wet_climate_suitability,drought_suitability,enrichment_sources,trait_size,trait_shape,trait_ribbing,trait_crown,trait_ground_colour,trait_over_colour_amount,trait_over_colour,trait_over_colour_pattern,trait_russet,trait_crunch,trait_flesh_colour,trait_height,trait_width,trait_firmness,trait_skin_colour,trait_juice_colour,trait_weight,trait_stone,trait_flavour,trait_veining,trait_hairiness,trait_bristles
apple-dumelows-seedling,apple,fruit-apple,Dumelow's Seedling,Malus domestica Borkh.,Culinary,"Raised by Mr Dumelow (or Dumeller) at Shakerstone, Leicestershire. The original tree was growing in 1800. It was exhibited as Dumelow's Crab in 1818, and renamed Wellington in 1819 or 1820. Fruits have very firm, crisp, juicy flesh which is extremely acid. Cooks well.",Beauty|Belle de Vennes|Belle des Vennes|de Sutton|Doncklaer|Doncklaer Seedling|Doncklaer's Seedling|Donclaer|Donclaer's Seedling|Duc de Wellington|Duke of Wellington|Dumeller's Crab|Dumelon's Seedling|Dumelow|Dumelow Seedling|Dumelow's Crab|Dumelow's Pippin|Dumelow's Wildling|Dumelows Crab|Dummelow's Seedling|Duncklaer's Seedling|Dunclaers Seedling|Durmmelous Seedling|Fair Maid of Taunton|Hawthornden d'Hiver|Hawthornden Winter|Lord Duncan|Lord Hampton's Wonder|Normanton Wonder|Pomme de Sutton|Reinette Wellington|Souring|Souring Apple|Supson FrangT|Supson FrangTe|Sutton Beauty|Wellington|Wellington Apple|Wellington Pippin|Wellington Reinette|Wellington's|Wellington's Apple|Wellington's Reinette|Wellingtons Reinette|Winter Hawthornden|Wunder von Normanton,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1709&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1709.0,,05-15,05-23,,Early October,21.0,,,,,,,,,,,,medium,Flat globose,absent,,Whitish yellow,low,Red,mottled,very low,crisp,White,53.50 mm,67.00 mm,firm,,,,,,,,
apple-newton-wonder,apple,fruit-apple,Newton Wonder,Malus domestica Borkh.,Culinary,"Raised by Taylor at King's Newton, Melbourne, Derbyshire, England. Introduced in about 1887 when it also received a First Class Certificate from the Royal Horticultural Society. Fruits have rather coarse-textured, moderately juicy flesh with a subacid flavour. Cooks very well.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Material held in the Marcher Apple Network collections (Croft Pendarren),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4226&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4226.0,,05-14,05-20,,Mid October,20.0,,,,,,,,,,,,large-very large,Broad globose conical,,medium,Yellow,,Red,striped/solid flush,,crisp,Yellowish,,,firm,,,,,,,,
apple-peasgoods-nonsuch,apple,fruit-apple,Peasgood's Nonsuch,Malus domestica Borkh.,Culinary,"Raised by Mrs Peasgood at Stamford, Lincolnshire, England from seed sown in about 1858. Received First Class Certificate from Royal Horticultural Society in 1872. Fruits are a little coarse textured, moderately juicy and a little sweet. Cooks well.",Gold-Reinette von Peasgood|Goldreinette von Peasgood|Nesravnennoe|Nesravnennoe Pisguda|Niezrdwnane Pisguda|Non Pareille de Peasgood|Peasgood|Peasgood Nonesuch|Peasgood Nonsuch|Peasgood Parotlanja|Peasgood's Goldreinette|Peasgood's Goldrenette|Peasgood's None Such|Peasgood's Nonesuch|Peasgood's Sondergleichen|Peasgood's Unvergleichlicher|Peasgoodova|Peasgoods Goldrenette|Peasgoods Sondergleichen|Reinette dorTe de Peasgood|Reinette Peasgood Nonsuch|Renet auriu de Peasgood|Renet Pisguda|Renet zolotoi Pisguda|Sans|Sans Pareil de Peasgood|Sans Pareille de Peasgood|Sans Pareille Peasgood|Sanspareille de Peasgood|Sanspareille Peasgood,Material available from the National Fruit Collection. Material held in the East of England Apples & Orchards Project Material held in the Marcher Apple Network collections (Donnington),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4552&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4552.0,,05-11,05-19,,Mid September,20.0,,,,,,,,,,,,large-very large,Flat,very weak,weak,Green yellow,low,Orange,striped/mottled,low,,Cream,75.71 mm,95.35 mm,soft,,,,,,,,
apple-reverend-w-wilks,apple,fruit-apple,Reverend W. Wilks,Malus domestica Borkh.,Culinary,"Raised by Veitch, Chelsea, England. First recorded in 1904. Received the Award of Merit in 1904 and a First Class Certificate in 1910 from the Royal Horticultural Society. Fruits have crisp, fine-textured, juicy flesh with a subacid flavour. Cooks well.",Reverend Wilks,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=5336&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),5336.0,,05-07,05-14,,Late August,20.0,,,,,,,,,,,,large,Truncate conical,weak,,Whitish yellow,low,,striped,,,White,76.00 mm,88.00 mm,,,,,,,,,
apple-edward-vii,apple,fruit-apple,Edward VII,Malus domestica Borkh.,Culinary,"First recorded in 1902. It was introduced by Rowe of Worcester in 1908. Received Award of Merit from the Royal Horticultural Society in 1903. Fruits have firm, rather coarse-textured, fairly juicy flesh with an acid flavour. An excellent cooker.",Edouard|Edouard VII|King Edward|King Edward VII,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Material held in the Marcher Apple Network collections (Paramor) Material held in the Marcher Apple Network collections (Croft Pendarren),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1811&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1811.0,,05-21,05-29,,Mid October,22.0,,,,,,,,,,,,medium-large,Broad globose conical,absent,,Green yellow,,,,,crisp,White,52.50 mm,67.00 mm,firm,,,,,,,,
apple-catshead,apple,fruit-apple,Catshead,Malus domestica Borkh.,Culinary,Originated in England and known in the 1600s. A distinctly angular and somewhat ugly apple. Fruits are coarse-textured and rather dry with a subacid flavour.,Apfelmuser|Cat-Head|Cat-head Greening|Cat's Head|Cat's Head Apple|Cathead|Cathead Greening|Catshead Greening|Catshead Round|Coustard|Crede's Grosser Wilhelm's Apfel|de Seigneur d'Automne|Deutsche SchaPsnase|Duke of York|Engelskopf|Green Codlin|Green Costard|Green Leadington|Grenadier|Gros-Nez de Mouton|Grosse gestreifte Schafsnase|Grosse Schafnase|Grosse Schafsnase|Grosse-Schafnas|Grosse-Schafnase|Grosser Schafsnase|Herefordshire Goose|Herrenapfel|Katzenkopf|Leadington|Leadington Green|Leadington Monstrous|Leichter Mat Apfel|Loggerhead|Monstrous|Monstrous Leadington|Pigs Snout|Pomme de Seigneur d'Automne|Rosskopf|Round Catshead|Royal Costard|Schafnase|Schafsnase|Stock Leadington|Stoke Leadington|Tankard|Terwin's Goliath|Tete d'Ange|Tete de Chat|Tete de Chat Ronde|Tete de Seigneur|Tete du Chat|Tete du Chat (of Jersey),Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Mother to: Peasgood's Nonsuch Lord Derby Lord Derby Spur Type Accession No. 1927 - 027 fingerprint check_circle Accession name Catshead,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1014&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1014.0,,05-11,05-19,,Early October,20.0,,,,,,,,,,,,large-very large,Globose conical,strong,medium-strong,Green yellow,very low,Orange,washed out,low,crisp,White,85.47 mm,86.12 mm,,,,,,,,,
apple-bismarck,apple,fruit-apple,Bismarck,Malus domestica Borkh.,Culinary,"This apple was named after Prince Bismarck the German Chancellor. Its origin is variously reported as Bismarck, Tasmania; Carisbrooke, Australia; and Canterbury, New Zealand. Received a First Class Certificate from the Royal Horticultural Society in 1887.Fruits have firm, fine-textured, juicy flesh with an acid flavour. Cooks well.",Bismarck-appel|Bismarckapfel|Bismarckapfel aus Neuseeland|Bismarckovo|Bismarcksapple|Bismark|Bismarkovo jablko|Furst Bismarck|Pomme Bismarck|Prince Bismarck|Prince Bismark,Material available from the National Fruit Collection. Material held in the Marcher Apple Network collections (Tredomen) Mother to: Fiessers Erstling Victory (Carpenter) Father to: S.T. Wright Bushey Grove,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=570&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),570.0,,05-08,05-15,,Early October,20.0,,,,,,,,,,,,large,Broad globose conical,medium,,Yellow,,Red,streaked/mottled,,crisp,White,78.50 mm,92.00 mm,,,,,,,,,
apple-belle-de-boskoop,apple,fruit-apple,Belle de Boskoop,Malus domestica Borkh.,Culinary / Dessert,"Triploid. Thought to be a bud sport of Reinette de Montfort. Found by K.J.W. Ottolander, Boskoop, The Netherlands in 1856. Received an Award of Merit from the Royal Horticultural Society in 1897. Fruits have firm, coarse textured flesh with a pleasant, aromatic flavour. Also cooks well.",Apfel der Zukunft|Bella di Boskoop|Belle de Boscoop|Belle of Boskoop|Boschovo jablko|Boskoop|Boskoopi szep|Boskoopskaya krasavitsa|Boskoopske|Boskoopské rudé|Boskopska hubavita|Boskopskaia krasavita|Boskopskaya krasavitsa|Calvill von Boskoop|Calville de Boskoop|Frumos de Boskoop|Gold Reinette|Goudrenet|Monstrous Reinette|Piekna z Boskoop|Piekna z Boskop|Reinette Belle de Boskoop|Reinette Belle di Boskoop|Reinette de Boskoop|Reinette de Montfoort|Reinette de Montfort|Reinette Monstreuse|Reinette Monstrous|Reinette Monstrueuse|Reinette von Montfort|Renetta di Montfort|Schone van Boskoop|Schone von Boskoop|Schoner aus Boskoop|Schoner van Boskoop|Schoner von Boskoop|Schoone van Boskoop|Schoone von Boskoop,Material available from the National Fruit Collection. Mother to: Alfa 68 Sports: Red Belle de Boskoop Wilhelm Ley Accession No. 1973 - 169 fingerprint check_circle Accession name Belle de Boskoop (LA 67A),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=450&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),450.0,,05-08,05-15,,Early October,20.0,,,,True,,,,,,,,large,Broad globose conical,weak-medium,very weak,Green yellow,low,Orange,striped/mottled,medium-high,crisp,Yellowish,61.00 mm,73.89 mm,,,,,,,,,
apple-calville-blanc-dhiver,apple,fruit-apple,Calville Blanc d'Hiver,Malus domestica Borkh.,Culinary / Dessert,"Raised in Europe, probably France or Germany. Recorded in 1598. Fruits have a rather soft, fine-textured juicy flesh with a rich, sweet, aromatic flavour. Fruits fail to ripen fully in the UK.",a Frire|Admirable Blanche|Admirable-Blanche|American White Winter Calville|Bial zimen Kalvil|Bily zimni hranac|Blanche de Zurich|Blanche des Wurtembergeois|Blandureau d'Auvergne|Bonnet Caree|Bonnet Carre|Bonnet Carret|Bonnet-Carre|Caleville Blanche|Caleville de Gascogne|Caleville Tardif|Calleville|Calleville Blanc|Calleville Blanc a Cotes|Calleville Blanc d'Hiver|Calleville Blanche|Calvil Alb de Iarna|Calvill Weisser Winter|Calvilla Alba|Calvilla Bianca d'Inverno|Calville a Cotes|Calville Acoute|Calville Blanc|Calville Blanc a Cotes|Calville Blanche|Calville Blanche a Cotes|Calville Blanche d'Automne|Calville Blanche d'Hiver|Calville Blanche d'Hyver|Calville Blanche Melonne a Cotes|Calville de Gascogne|Calville de Paris|Calville Tardive|Calville White Winter|Calville Withe Winter|Calvine|Calvire|Catogna|Cotogna|de Calville|de Coign|de Coing|de Fraise|Eck Apfel|Eckapfel|Eggerling|Ekkeling|Englischer Winter Calville|Englisher Weisser Winter Calville|Fraise d'Hiver|Framboise d'Hiver|Franzosischer Quitten Apfel|Franzosischer Quittenapfel|Gelber Winter Calvill|Gelber Winter Calville|Glace|Gros Rambour a Cotes|Gros-Rambour a Cotes|Gross-Pomme de Zurich|Grosse Pomme de Zurich|Grosse-Pomme Blanche du Wurtemberg|Hvid Vinterkalville|Hvit Vintercalvill|Kalvil Belii Zimnii|Kalvil Bily Zimni|Malus Calvilla Alba|Melonen apfel|Melonenapfel|Melonne|Melonne a Cotes|Niger|Ostenapfel|Oster Apfel|Paasch Apfel|Paaschapfel|Paradies Apfel|Paradiesapfel|Parijskii Kalvil|Paris Apple|Parisapfel|Pome de Fraise|Pomme de Caleville|Pomme de Calleville|Pomme de Calville|Pomme de Coign|Pomme de Coin|Pomme de Fraise|Pomme de Framboise|Pomme de Glace|Pomme Glace|Quitten Apfel|Quittenapfel|Rambour a Cotes Gros|Rambour a Cotes Grosses|Reinette a Cotes|Reinette Cotelee|Reinnette a Cotes|Stern Apfel|Stern Reinette|Sternapfel|Sternreinette|Taponelle|Taponne|Taponnelle|Tapounelle|Teli feher kalvil|Vit Vinterkalvil|Vit Vinterkalvill|Wahrer Winter Calville|Weiss Zurich|Weisse Winter Calvill|Weisse Winter Calville|Weisser Erdbeerapfel|Weisser Himbeer|Weisser Himbeer Apfel|Weisser Himbeerapfel|Weisser Winter Calvill|Weisser Winter Calville|Weisser Winter-Calvill|Weisser Winterkalwil|Weisser Zurich Apfel|Weisser Zurichapfel|Weiszer Erdbeerapfel|Weiszer Himbeerapfel|Weiszer Wintercalville|White Autumn Calville|White Calville|White Winter Calville|Winter Calville|Winter Quitten Apfel|Winter Quittenapfel|Winter White|Winter White Calville|Winter Wite Calvile|Withe calville|Witte Winter Calville,Material available from the National Fruit Collection. Material held in the Marcher Apple Network collections (Donnington) Mother to: Adersleber Calville Signe Tillisch Lombarts Calville Accession No. 2002 - 037 fingerprint check_circle Accession name Calville Blanc d'Hiver,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=890&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),890.0,,05-12,05-20,,Mid October,20.0,,,,,,,,,,,,medium,Broad globose conical,strong,very strong,Whitish green,absent,Orange,washed out,low-medium,crisp,Yellowish,,,soft,,,,,,,,
apple-rhode-island-greening,apple,fruit-apple,Rhode Island Greening,Malus domestica Borkh.,Culinary / Dessert,"Triploid. Thought to have originated at Green's End, Newport, Rhode Island, USA. It was already known by 1650. Fruits have rather coarse-textured, juicy flesh with a pleasant flavour.",Bell Dubois|Burlington Greening|Ganges|Green Newtown Pippin|Green Winter Pippin|Greening|Greenling von Rhode Island|Grunling von Rhode Island|Grunling von Rhode-Island|Hampshire Greening|Island's Grunling|Jersey Greening|Lindley Green Newton Pippin|Pomme Verte de Rhode-Island|Reinette du Seeland|Rhode Island|Rhode Island (Greening)|Rhode-Island Greening|Russine|Seelander Reinette|Serinkia|Verte de Ile de Rhodes|Verte de l'Ile de Rhodes|Verte de Rhode Island|Verte de Rhode-Island|Zelence Rhodoislandske|Zelenka Rod-Ailend skaya,Material available from the National Fruit Collection. Accession No. 1945 - 176 fingerprint check_circle Accession name Rhode Island Greening,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=5345&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),5345.0,,05-09,05-17,,Early October,20.0,,,,True,,,,,,,,large-very large,Flat globose,strong-very strong,medium,Whitish yellow,very low,Brown,washed out,low,,Yellowish,66.23 mm,83.15 mm,soft,,,,,,,,
apple-baldwin,apple,fruit-apple,Baldwin,Malus domestica Borkh.,Dessert,"Triploid. A chance seedling found on the farm of John Ball, Wilmington, Massachusetts, U.S.A. in about 1740. Introduced by Colonel Baldwin in about 1780. Fruits are coarse textured and juicy but lack flavour. It was once an important commercial variety in the U.S.A.",American Baldwin|Baldwin Rosenapfel|Baldwin's Apfel|Baldwin's Roter Pepping|Baldwin's rother Pepping|Baldwin's Rother Pippin|Beldvin|Butter's|Butter's Woodpecker|Butters|Butters' Red Baldwin|Calville Butter|Calville Buttner|Felch|Late Baldwin|Pecker|Pepin Rouge de Baldwin|Peppin rouge de Baldwin|Red Baldwin|Red Baldwin Pippin|Red Baldwin's Pippin|Stecle's Red Winter|Steele's Red Winter|Woodpecker,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Sports: Double-Red Baldwin,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=306&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),306.0,,05-11,05-17,,Mid October,20.0,,,,True,,,,,,,,medium-large,Truncate conical,,,Yellow,,Orange,striped,,,Yellowish,63.00 mm,76.50 mm,firm,,,,,,,,
apple-stayman,apple,fruit-apple,Stayman (Stayman Winesap),Malus domestica Borkh.,Dessert / Culinary,"A red, tangy apple with a crisp bite; good for eating fresh and for cooking, and stores well.",Stayman|Stayman Winesap,Commonly sold for home orchards/gardens in Europe (nursery stock).,False,,https://es.wikipedia.org/wiki/Stayman,CC BY-SA 4.0 (Wikipedia); summary written for this dataset.,,,,,,October,,,,,,,,,,,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,
apple-newtown-pippin,apple,fruit-apple,Newtown Pippin,Malus domestica Borkh.,Dessert,"Originated on the estate of Gersham Moore at Newtown, Long Island, USA. It was well known in 1759. Fruits have firm, fine-textured, juicy flesh with a trace of richness.",Albemarle|Albemarle Pippin|Albermarle|Albermarle Pippin|American Newton Pippin|American Newtown Pippin|Back Creek|Brooke Pippin|Brooke's Pippin|Brookes Pippin|Brookes' Pippin|Coxe's Green Newton Pippin|de New York|Gelber von Newton|Green Newton Pippin|Green Newtown|Green Newtown Pippin|Green Newtown-Pippin|Green Ohio Pippin|Green Winter Pippin|Hampshire Greening|Hunt's Fine Green Pippin|Hunt's Green Newton Pippin|Hunt's Green Newtown Pippin|Kostliche Reinette von Newtown|Large Green Newtown Pippin|Large Newton Pippin|Large Newtown Pippin|Large Yellow|Large Yellow Newton Pippin|Large Yellow Newtown Pippin|Mountain Pippin|Neujorker Reinette|Neustadt's Gelber Pepping|Neustadt's Grosser Pepping|Neustadts Grosser Pepping|Neustadts Kostliche Reinette|New York|New York Greening|New York Pippin|New York Reinette|New-York|Newjorker Reinette|Newton|Newton Green Pippin|Newton Pippin|Newton Yellow Pippin|Newton'pippin|Newton's Pippin|Newtown Green Winter Pippin|Newtown Pippin from New York|Newtown Vert|Ohio Green Pippin|Pepin de Newtown|Pepin Newtona|Pepin Newtown|Pepin Nouvelle-Ville|Pepin Vert de Newton|Pepin Vert de Newtown|Pepin-Vert de Newton|Peterborough Pippin|Petersburg Pippin|Petersburgh Pippen|Petersburgh Pippin|Pippin|Pippin Newtown Yellow|Reinette de New-York|Virginia Pippin|White Newtown Pippin|White's Newtown Pippin|Yellow Newton|Yellow Newton Pippin|Yellow Newton's Pippin|Yellow Newtown|Yellow Newtown Pippin,Material available from the National Fruit Collection. Material held in the Marcher Apple Network collections (Donnington) Mother to: Lamb Abbey Pearmain May Beauty Storey's Seedling Eastbourne Pippin Sissons's Worksop Newtown Accession No. 1963 - 025 fingerprint check_circle Accession name Newtown Pippin,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4228&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4228.0,,05-14,05-22,,Mid October,21.0,,,,,,,,,,,,large,Globose conical,strong,medium-strong,Green yellow,absent,Brown,washed out,low,crisp,Cream,65.34 mm,78.01 mm,,,,,,,,,
apple-dabinett,apple,fruit-apple,Dabinett,Malus domestica Borkh.,Cider,"Thought to have originated in the Martock-Kingsbury area of Somerset in the mid-19th Century. Believed to have been named after a Mr Dabinett. Possibly a seedling of Chisel Jersey. This variety crops regularly. Fruits have slightly crisp flesh with a sweet, astringent, strong fruity flavour when ripe. Dabinett is weak grower producing a small and spreading tree. A bittersweet variety that produces a soft, full-bodied, high quality cider.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 077 fingerprint check_circle Accession name Dabinett,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1438&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1438.0,,05-14,05-21,,Mid November,21.0,,,,,,,,,,,,small-medium,Globose,weak-medium,weak,Green yellow,high-very high,Red,striped/solid flush,low,,Cream,50.00 mm,62.40 mm,,,,,,,,,
apple-yarlington-mill,apple,fruit-apple,Yarlington Mill,Malus domestica Borkh.,Cider,"Originated in the village of yarlington, in the North Cadbury area of Somerset. A strongly biennial cropper unless pruned regularly. Produces a medium bittersweet cider.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 119 fingerprint check_circle Accession name Yarlington Mill,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6962&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6962.0,,05-04,05-12,,Late October,19.0,,,,,,,,,,,,small-medium,Globose conical,weak-medium,weak,Green yellow,high,Red,striped/solid flush,low,,Cream,54.70 mm,63.60 mm,,,,,,,,,
apple-kingston-black,apple,fruit-apple,Kingston Black,Malus domestica Borkh.,Cider,"Believed to be a Somerset apple and possibly raised at Kingston, near Taunton. This variety was introduced into Herefordshire c.1820 by Mr Palmer of Bollitree Estate, Weston-under-Penyard near Ross-on-Wye. Trees are of medium size and have a spreading habit. Susceptible to scab. Fruits are medium to small in size and produce a full bodied, excellent quality cider with a distinctive flavour.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1999 - 096 fingerprint check_circle Accession name Kingston Black,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=3250&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),3250.0,,05-14,05-22,,late september,21.0,,,,,,,,,,,,small,Globose,medium,very weak,Green yellow,,Red,striped/solid flush,low,,,45.75 mm,52.85 mm,,,,,,,,,
apple-michelin,apple,fruit-apple,Michelin,Malus domestica Borkh.,Cider,"This old popular cider apple was raised by M. Legrand of Yvetot, Normandy , France. It first fruited in 1872. It was named after M. Michelin of Paris, one of the original promoters appointed by the French Government for the study of cider fruits. Introduced into Herefordshire in 1884 by the Woolhope Naturalists Field Club. Fruits are small and pale green to yellow. Produces a sweet juice resulting in a bittersweet cider ideal for blending.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 096 fingerprint check_circle Accession name Michelin,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=3956&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),3956.0,,,,,,,,,,,,,,,,,,small,Globose conical,weak-medium,weak,Green yellow,,Orange,washed out,low,,,43.00 mm,47.60 mm,,,,,,,,,
apple-brown-snout,apple,fruit-apple,Brown Snout,Malus domestica Borkh.,Cider,"Thought to have originated in Herefordshire, UK. Known to have been in existence in the mid 1800s. Late flowering. Moderately biennial. Fruits are small to medium with firm flesh. Produces a bittersweet, average mild to medium cider.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 068 fingerprint check_circle Accession name Brown Snout,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=790&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),790.0,,05-24,05-30,,Early November,22.0,,,,,,,,,,,,small,Globose conical,weak-medium,absent,Whitish green,high,Red,striped/mottled,low,,White,39.70 mm,45.35 mm,,,,,,,,,
apple-sweet-coppin,apple,fruit-apple,Sweet Coppin,Malus domestica Borkh.,Cider,"An old variety originating in Devon. Once very common in cider orchards in the Exeter area. Susceptible to mildew. The medium to large fruits ripen early November. Produces a pure sweet, sometimes a very mild bittersweet cider of good quality.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 112 fingerprint check_circle Accession name Sweet Coppin,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6196&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6196.0,,05-10,05-17,,Early November,20.0,,,,,,,,,,,,small,Globose conical,weak,very weak,Green yellow,very low,Pink,mottled,medium-high,,White,49.10 mm,52.80 mm,,,,,,,,,
apple-chisel-jersey,apple,fruit-apple,Chisel Jersey,Malus domestica Borkh.,Cider,An old cider variety known to have been widely grown around the Martock area of Somerset. The name is thought to have derived from the term,,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 072 fingerprint check_circle Accession name Chisel Jersey,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1094&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1094.0,,05-18,05-25,,Mid November,21.0,,,,,,,,,,,,small-medium,Broad globose conical,weak-medium,weak,Green yellow,high,Orange,striped/solid flush,low,,Cream,45.65 mm,58.40 mm,,,,,,,,,
apple-harry-masters-jersey,apple,fruit-apple,Harry Master's Jersey,Malus domestica Borkh.,Cider,Also known by the name,,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 089 fingerprint check_circle Accession name Harry Masters Jersey,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2636&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2636.0,,,,,,,,,,,,,,,,,,medium,Globose conical,medium,weak-medium,Green yellow,,Red,striped/washed out,low,,,53.60 mm,62.70 mm,,,,,,,,,
cherry-black-tartarian-e,cherry,fruit-cherry-sweet,Black Tartarian E,Prunus avium L.,,"Availability Material available from the National Fruit Collection. Accession No. 1978 - 280 check_circle Accession name Black Tartarian E Firmness medium 1 Flesh Colour Pink/Medium Red/Dark Red 1 Fruit Weight 7.60 g 1 Stalk Length 51.23 mm 1 Skin Colour dark red/blackish 1 Pistil pointed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the",,"Material available from the National Fruit Collection. Accession No. 1978 - 280 check_circle Accession name Black Tartarian E Firmness medium 1 Flesh Colour Pink/Medium Red/Dark Red 1 Fruit Weight 7.60 g 1 Stalk Length 51.23 mm 1 Skin Colour dark red/blackish 1 Pistil pointed 1 Juice Colour red 1 References: 1. NFC fruit (undated) Unpublished characterisation by staff at NFC, Brogdale. Name Accession Number Accession A-Z Apple Pear Apricot Blackcurrant Currants Cherry Gooseberry Plum copyright 2025 Crown Copyright Copyright Information × You may use and re-use the information featured on this website (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence open_in_new . Close email Contact Us brush Chris Turnbull August 2023",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=7096&&fruit=cherry,Open Government Licence (Crown Copyright; excluding logos),7096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink/Medium Red/Dark Red,,,medium,dark red/blackish,red,,,,,,
apple-stoke-red,apple,fruit-apple,Stoke Red,Malus domestica Borkh.,Cider,"This variety gained attention in the 1920s when surveys found trees growing in Rodney Stoke, Somerset. The trees are fairly vigorous and crop quite heavily. Produces a sharp, slightly astringent juice and a fine, sharp cider.",,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Accession No. 1989 - 110 fingerprint check_circle Accession name Stoke Red,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6039&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6039.0,,05-18,05-27,,Mid November,21.0,,,,,,,,,,,,small,Broad globose conical,weak,weak,Green yellow,high,Orange,striped/solid flush,low,,Cream,39.78 mm,49.78 mm,,,,,,,,,
